"TYPE_CODE","DATEON","CLOSING_PRICE","UP_DOWN_PER","VOLUME","VOLUME_AMT"
KOSDAQ,"2003.10.09",464.4,1.04,327643.0,766507.0
KOSDAQ,"2003.10.10",470.0,1.21,298105.0,958955.0
KOSDAQ,"2003.10.13",476.1,1.3,318148.0,927907.0
KOSDAQ,"2003.10.14",479.5,0.71,395570.0,1107320.0
KOSDAQ,"2003.10.15",481.4,0.4,368409.0,985140.0
KOSDAQ,"2003.10.16",481.7,0.06,341405.0,1054720.0
KOSDAQ,"2003.10.17",475.5,-1.29,299900.0,865969.0
KOSDAQ,"2003.10.20",477.0,0.32,319218.0,814967.0
KOSDAQ,"2003.10.21",478.0,0.21,371204.0,1139300.0
KOSDAQ,"2003.10.22",474.2,-0.79,379868.0,1087350.0
KOSDAQ,"2003.10.23",459.0,-3.21,356627.0,853182.0
KOSDAQ,"2003.10.24",459.9,0.2,346197.0,743853.0
KOSDAQ,"2003.10.27",463.7,0.83,309210.0,723434.0
KOSDAQ,"2003.10.28",468.5,1.04,371418.0,1044650.0
KOSDAQ,"2003.10.29",465.4,-0.66,386876.0,939052.0
KOSDAQ,"2003.10.30",468.4,0.64,374085.0,912866.0
KOSDAQ,"2003.10.31",463.8,-0.98,363476.0,858441.0
KOSDAQ,"2003.11.03",466.4,0.56,352705.0,773542.0
KOSDAQ,"2003.11.04",462.3,-0.88,422253.0,1064500.0
KOSDAQ,"2003.11.05",460.0,-0.5,485483.0,1150080.0
KOSDAQ,"2003.11.06",449.6,-2.26,410238.0,950838.0
KOSDAQ,"2003.11.07",457.0,1.65,404730.0,997872.0
KOSDAQ,"2003.11.10",457.1,0.02,433175.0,925961.0
KOSDAQ,"2003.11.11",454.5,-0.57,416810.0,906214.0
KOSDAQ,"2003.11.12",463.1,1.89,381420.0,945797.0
KOSDAQ,"2003.11.13",469.7,1.43,426677.0,1069370.0
KOSDAQ,"2003.11.14",469.0,-0.15,396557.0,868785.0
KOSDAQ,"2003.11.17",467.9,-0.23,330675.0,872173.0
KOSDAQ,"2003.11.18",475.1,1.54,395892.0,948123.0
KOSDAQ,"2003.11.19",460.9,-2.99,372426.0,959020.0
KOSDAQ,"2003.11.20",459.7,-0.26,382437.0,769612.0
KOSDAQ,"2003.11.21",456.7,-0.65,344213.0,712541.0
KOSDAQ,"2003.11.24",438.1,-4.07,347250.0,702872.0
KOSDAQ,"2003.11.25",448.2,2.31,359236.0,694615.0
KOSDAQ,"2003.11.26",454.9,1.49,429934.0,863908.0
KOSDAQ,"2003.11.27",453.5,-0.31,395179.0,783705.0
KOSDAQ,"2003.11.28",458.4,1.08,384145.0,719487.0
KOSDAQ,"2003.12.01",468.5,2.2,353470.0,915379.0
KOSDAQ,"2003.12.02",470.8,0.49,385895.0,956345.0
KOSDAQ,"2003.12.03",471.7,0.19,400285.0,907499.0
KOSDAQ,"2003.12.04",473.7,0.42,398540.0,903362.0
KOSDAQ,"2003.12.05",470.8,-0.61,382308.0,926167.0
KOSDAQ,"2003.12.08",469.0,-0.38,416505.0,841483.0
KOSDAQ,"2003.12.09",468.8,-0.04,466722.0,862845.0
KOSDAQ,"2003.12.10",466.2,-0.55,426055.0,721370.0
KOSDAQ,"2003.12.11",468.2,0.43,397421.0,778173.0
KOSDAQ,"2003.12.12",471.1,0.62,460670.0,978538.0
KOSDAQ,"2003.12.15",476.0,1.04,479727.0,951697.0
KOSDAQ,"2003.12.16",467.0,-1.89,539162.0,951335.0
KOSDAQ,"2003.12.17",463.4,-0.77,527711.0,1010640.0
KOSDAQ,"2003.12.18",460.4,-0.65,446000.0,848876.0
KOSDAQ,"2003.12.19",454.5,-1.28,455392.0,816396.0
KOSDAQ,"2003.12.22",441.5,-2.86,433002.0,896645.0
KOSDAQ,"2003.12.23",435.5,-1.36,489491.0,866636.0
KOSDAQ,"2003.12.24",430.9,-1.06,435349.0,780723.0
KOSDAQ,"2003.12.26",432.5,0.37,408619.0,660706.0
KOSDAQ,"2003.12.29",440.5,1.85,358605.0,655804.0
KOSDAQ,"2003.12.30",448.7,1.86,323053.0,672403.0
KOSDAQ,"2004.01.02",451.4,0.6,288492.0,537728.0
KOSDAQ,"2004.01.05",452.7,0.29,325147.0,635082.0
KOSDAQ,"2004.01.06",447.3,-1.19,353255.0,802036.0
KOSDAQ,"2004.01.07",446.1,-0.27,353831.0,763275.0
KOSDAQ,"2004.01.08",444.1,-0.45,361688.0,822050.0
KOSDAQ,"2004.01.09",453.0,2.0,350840.0,1006440.0
KOSDAQ,"2004.01.12",458.0,1.1,349249.0,935529.0
KOSDAQ,"2004.01.13",457.0,-0.22,405086.0,903267.0
KOSDAQ,"2004.01.14",458.4,0.31,365397.0,864594.0
KOSDAQ,"2004.01.15",450.0,-1.83,384204.0,861023.0
KOSDAQ,"2004.01.16",445.4,-1.02,326665.0,719207.0
KOSDAQ,"2004.01.19",441.5,-0.88,313378.0,685535.0
KOSDAQ,"2004.01.20",445.7,0.95,267687.0,604270.0
KOSDAQ,"2004.01.26",448.25,0.57,288020.0,751838.0
KOSDAQ,"2004.01.27",445.04,-0.72,337428.0,803355.0
KOSDAQ,"2004.01.28",441.46,-0.8,365251.0,879074.0
KOSDAQ,"2004.01.29",442.15,0.16,340344.0,897227.0
KOSDAQ,"2004.01.30",441.45,-0.16,336087.0,789795.0
KOSDAQ,"2004.02.02",444.51,0.69,331917.0,804093.0
KOSDAQ,"2004.02.03",437.81,-1.51,365589.0,935016.0
KOSDAQ,"2004.02.04",437.45,-0.08,438035.0,934549.0
KOSDAQ,"2004.02.05",436.87,-0.13,441713.0,1024960.0
