"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","05.11.02",-308.0,209.0,99.0,-17.0,21.0,240.0,-2.0,-7.0,-136.0,0.0
"02","05.11.03",-207.0,202.0,6.0,51.0,11.0,108.0,-33.0,-16.0,-114.0,0.0
"02","05.11.04",-362.0,378.0,-15.0,116.0,-3.0,35.0,-19.0,-9.0,-135.0,0.0
"02","05.11.07",210.0,52.0,-262.0,-36.0,-2.0,-30.0,-8.0,-36.0,-150.0,0.0
"02","05.11.08",224.0,-207.0,-17.0,20.0,23.0,46.0,-12.0,22.0,-116.0,0.0
"02","05.11.09",-144.0,110.0,34.0,-35.0,46.0,104.0,1.0,-3.0,-79.0,0.0
"02","05.11.10",-181.0,220.0,-39.0,-11.0,57.0,2.0,-36.0,18.0,-68.0,0.0
"02","05.11.11",-413.0,84.0,329.0,124.0,43.0,318.0,-11.0,-57.0,-88.0,0.0
"02","05.11.14",-104.0,54.0,51.0,13.0,-2.0,84.0,-57.0,-17.0,30.0,0.0
"02","05.11.15",165.0,-99.0,-65.0,-63.0,22.0,0.0,5.0,18.0,-48.0,0.0
"02","05.11.16",-215.0,111.0,104.0,28.0,24.0,64.0,-23.0,-4.0,16.0,0.0
"02","05.11.17",-356.0,194.0,162.0,44.0,34.0,111.0,14.0,7.0,-48.0,0.0
"02","05.11.18",-241.0,47.0,194.0,-16.0,36.0,184.0,30.0,11.0,-50.0,0.0
"02","05.11.21",-144.0,131.0,13.0,-22.0,39.0,29.0,-8.0,-16.0,-8.0,0.0
"02","05.11.22",-103.0,-68.0,171.0,4.0,110.0,152.0,-60.0,7.0,-42.0,0.0
"02","05.11.23",41.0,-262.0,221.0,25.0,52.0,354.0,12.0,-25.0,-197.0,0.0
"02","05.11.24",-552.0,206.0,345.0,64.0,84.0,266.0,-37.0,5.0,-36.0,0.0
"02","05.11.25",-240.0,135.0,105.0,-21.0,72.0,58.0,-59.0,20.0,34.0,0.0
"02","05.11.28",562.0,-149.0,-413.0,-59.0,-2.0,-95.0,-31.0,-17.0,-209.0,0.0
